CMDLINE C:\Users\Sourour\AppData\Local\Programs\Python\Python311\python.exe Scraper(Motory)[SD]{Modified}.py
MEM 107.421875 1707396877.8936
MEM 107.421875 1707396877.9939
MEM 107.421875 1707396878.0943
MEM 107.421875 1707396878.1948
MEM 107.421875 1707396878.2951
MEM 107.421875 1707396878.3955
MEM 107.421875 1707396878.4959
MEM 107.421875 1707396878.5965
MEM 107.421875 1707396878.6969
MEM 107.421875 1707396878.7973
MEM 107.421875 1707396878.8976
MEM 107.421875 1707396878.9980
MEM 107.421875 1707396879.0983
MEM 107.421875 1707396879.1986
MEM 107.421875 1707396879.2991
MEM 107.421875 1707396879.3997
MEM 107.421875 1707396879.5000
MEM 107.421875 1707396879.6006
MEM 107.421875 1707396879.7013
MEM 107.421875 1707396879.8016
MEM 107.421875 1707396879.9022
MEM 107.421875 1707396880.0025
MEM 107.421875 1707396880.1033
MEM 107.421875 1707396880.2036
MEM 107.421875 1707396880.3037
MEM 107.421875 1707396880.4043
MEM 107.421875 1707396880.5047
MEM 107.421875 1707396880.6053
MEM 107.421875 1707396880.7056
MEM 107.421875 1707396880.8062
MEM 107.421875 1707396880.9064
MEM 107.421875 1707396881.0070
MEM 107.421875 1707396881.1073
MEM 107.421875 1707396881.2079
MEM 107.421875 1707396881.3082
MEM 107.421875 1707396881.4089
MEM 107.421875 1707396881.5093
MEM 107.421875 1707396881.6099
MEM 107.421875 1707396881.7104
MEM 107.421875 1707396881.8108
MEM 107.421875 1707396881.9111
MEM 107.421875 1707396882.0115
MEM 107.421875 1707396882.1121
MEM 107.421875 1707396882.2127
MEM 107.421875 1707396882.3133
MEM 107.421875 1707396882.4136
MEM 107.421875 1707396882.5143
MEM 107.421875 1707396882.6145
MEM 107.421875 1707396882.7149
MEM 107.421875 1707396882.8153
MEM 107.421875 1707396882.9155
MEM 107.421875 1707396883.0161
MEM 107.421875 1707396883.1165
MEM 107.421875 1707396883.2171
MEM 107.421875 1707396883.3176
MEM 107.421875 1707396883.4183
MEM 107.421875 1707396883.5185
MEM 107.421875 1707396883.6190
MEM 107.421875 1707396883.7192
MEM 107.421875 1707396883.8196
MEM 107.421875 1707396883.9199
MEM 107.421875 1707396884.0201
MEM 107.421875 1707396884.1207
MEM 107.421875 1707396884.2212
MEM 107.421875 1707396884.3215
MEM 107.421875 1707396884.4221
MEM 107.421875 1707396884.5224
MEM 107.421875 1707396884.6227
MEM 107.421875 1707396884.7233
MEM 107.421875 1707396884.8236
MEM 107.421875 1707396884.9242
MEM 107.421875 1707396885.0246
MEM 107.421875 1707396885.1251
MEM 107.421875 1707396885.2257
MEM 107.421875 1707396885.3262
MEM 107.421875 1707396885.4268
MEM 107.421875 1707396885.5271
MEM 107.421875 1707396885.6275
MEM 107.421875 1707396885.7278
MEM 107.421875 1707396885.8284
MEM 107.421875 1707396885.9285
MEM 107.421875 1707396886.0290
MEM 107.421875 1707396886.1296
MEM 107.421875 1707396886.2298
MEM 107.421875 1707396886.3304
MEM 107.421875 1707396886.4309
MEM 107.421875 1707396886.5312
MEM 107.421875 1707396886.6316
MEM 107.421875 1707396886.7318
MEM 107.421875 1707396886.8322
MEM 107.421875 1707396886.9327
MEM 107.421875 1707396887.0334
MEM 107.421875 1707396887.1337
MEM 107.421875 1707396887.2343
MEM 107.421875 1707396887.3347
MEM 107.421875 1707396887.4350
MEM 107.421875 1707396887.5356
MEM 107.421875 1707396887.6362
MEM 107.421875 1707396887.7364
MEM 107.421875 1707396887.8370
MEM 107.421875 1707396887.9375
MEM 107.421875 1707396888.0379
MEM 107.421875 1707396888.1385
MEM 106.218750 1707396888.2386
MEM 106.582031 1707396888.3389
MEM 106.582031 1707396888.4392
MEM 106.582031 1707396888.5393
MEM 106.582031 1707396888.6398
MEM 106.843750 1707396888.7400
MEM 108.570312 1707396888.8406
MEM 108.570312 1707396888.9409
MEM 108.570312 1707396889.0412
MEM 108.570312 1707396889.1417
MEM 108.570312 1707396889.2418
MEM 108.570312 1707396889.3423
MEM 108.570312 1707396889.4429
MEM 108.570312 1707396889.5434
MEM 108.574219 1707396889.6438
MEM 108.574219 1707396889.7443
MEM 108.574219 1707396889.8450
MEM 108.574219 1707396889.9457
MEM 108.574219 1707396890.0459
MEM 108.574219 1707396890.1465
MEM 108.574219 1707396890.2469
MEM 108.574219 1707396890.3470
MEM 108.574219 1707396890.4476
MEM 108.574219 1707396890.5479
MEM 108.574219 1707396890.6485
MEM 108.574219 1707396890.7487
MEM 108.574219 1707396890.8492
MEM 108.574219 1707396890.9495
MEM 108.574219 1707396891.0496
MEM 108.574219 1707396891.1499
MEM 108.574219 1707396891.2504
MEM 108.574219 1707396891.3509
MEM 108.574219 1707396891.4514
MEM 108.574219 1707396891.5520
MEM 108.574219 1707396891.6523
MEM 107.125000 1707396891.7525
MEM 107.125000 1707396891.8527
